"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008652","GO:0008652","cellular amino acid biosynthetic process","41/192","140/6396",1.76405703759995e-30,1.57706699161436e-27,1.2979745992446e-27,"856147/854714/851605/854096/856268/853594/856411/853669/854275/853357/852551/856539/854297/854479/852550/856778/856782/855619/853573/852691/851705/852672/853230/850327/852858/854834/852752/850714/854852/855084/853473/851736/855855/851956/856800/852412/853374/850348/855786/850664/856824",41
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","38/192","132/6396",6.25056252623195e-28,2.79400144922568e-25,2.29954905570323e-25,"856147/854714/854096/856268/853594/856411/853669/854275/853357/856539/854297/854479/852550/856778/856782/855619/853573/852691/852672/853230/850327/852858/854834/852752/850714/854852/855084/853473/851736/855855/851956/856800/852412/853374/850348/855786/850664/856824",38
"GO:0006520","GO:0006520","cellular amino acid metabolic process","50/192","271/6396",6.51523548161221e-27,1.94154017352044e-24,1.59794722864805e-24,"856147/854714/852076/851605/854096/856268/853594/856411/853669/854275/853357/855993/852551/850877/856539/854297/854479/852550/856778/856782/851384/855619/852241/853573/852691/854711/851705/852672/853230/852442/850327/852858/854834/852507/852752/850714/854852/850747/855084/853473/851736/855855/851956/856800/852412/853374/850348/855786/850664/856824",50
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","44/192","206/6396",2.18997279843659e-26,4.89458920450578e-24,4.028397331861e-24,"856147/854714/852076/854096/856268/853594/856411/853669/854275/853357/855993/850877/856539/854297/854479/852550/856778/856782/855619/852241/853573/852691/852672/853230/850327/852858/854834/852507/852752/850714/854852/850747/855084/853473/851736/855855/851956/856800/852412/853374/850348/855786/850664/856824",44
"GO:0016053","GO:0016053","organic acid biosynthetic process","45/192","244/6396",3.80888423848673e-24,5.67523751534523e-22,4.67089488193373e-22,"856147/854714/851605/854096/856268/853594/853169/856411/853669/854275/853357/852551/853465/856539/854297/854479/856804/852550/856778/856782/855619/853573/852691/851705/852672/853230/850327/852858/854834/852752/850714/854852/855084/853473/851736/855855/851956/856800/852412/852410/853374/850348/855786/850664/856824",45
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","45/192","244/6396",3.80888423848673e-24,5.67523751534523e-22,4.67089488193373e-22,"856147/854714/851605/854096/856268/853594/853169/856411/853669/854275/853357/852551/853465/856539/854297/854479/856804/852550/856778/856782/855619/853573/852691/851705/852672/853230/850327/852858/854834/852752/850714/854852/855084/853473/851736/855855/851956/856800/852412/852410/853374/850348/855786/850664/856824",45
"GO:0044283","GO:0044283","small molecule biosynthetic process","54/192","404/6396",4.87895333167323e-22,6.23112039787981e-20,5.12840357720239e-20,"856147/854714/851605/854096/856268/853594/853169/852519/856411/853669/854275/853357/852551/853465/856539/854297/854479/856804/852559/852550/856778/856782/853972/855619/854758/852241/853573/852691/853356/851705/852672/853230/852442/854948/850327/852858/854834/852752/850714/854852/855084/853664/853473/851736/855855/851956/856800/852412/852410/853374/850348/855786/850664/856824",54
"GO:0019752","GO:0019752","carboxylic acid metabolic process","55/192","453/6396",2.00708779316117e-20,2.03503168001315e-18,1.67489361159684e-18,"856147/854714/852076/851605/854096/856268/853594/853169/852519/856411/853669/854275/853357/855993/852551/850877/853465/856539/854297/854479/856804/852550/856778/856782/851384/855619/852241/853573/852691/854711/851705/852672/853230/852442/850327/852858/854834/852507/852752/850714/854852/850747/855084/853473/851736/855855/851956/856800/852412/852410/853374/850348/855786/850664/856824",55
"GO:0043436","GO:0043436","oxoacid metabolic process","56/192","470/6396",2.0486896107515e-20,2.03503168001315e-18,1.67489361159684e-18,"856147/854714/852076/851605/854096/856268/853594/853169/852519/856411/853669/854275/853357/853904/855993/852551/850877/853465/856539/854297/854479/856804/852550/856778/856782/851384/855619/852241/853573/852691/854711/851705/852672/853230/852442/850327/852858/854834/852507/852752/850714/854852/850747/855084/853473/851736/855855/851956/856800/852412/852410/853374/850348/855786/850664/856824",56
"GO:0006082","GO:0006082","organic acid metabolic process","56/192","472/6396",2.52108015791167e-20,2.25384566117304e-18,1.85498424250554e-18,"856147/854714/852076/851605/854096/856268/853594/853169/852519/856411/853669/854275/853357/853904/855993/852551/850877/853465/856539/854297/854479/856804/852550/856778/856782/851384/855619/852241/853573/852691/854711/851705/852672/853230/852442/850327/852858/854834/852507/852752/850714/854852/850747/855084/853473/851736/855855/851956/856800/852412/852410/853374/850348/855786/850664/856824",56
"GO:0006525","GO:0006525","arginine metabolic process","11/192","18/6396",3.55665480047658e-13,2.89059035602369e-11,2.37904469429008e-11,"854096/856411/853357/855993/854297/854479/853573/852507/855084/856800/853374",11
"GO:0009067","GO:0009067","aspartate family amino acid biosynthetic process","17/192","59/6396",5.91431054474994e-13,4.4061613558387e-11,3.62640620243878e-11,"854714/856268/853594/856539/856778/852691/852672/853230/854834/852752/850714/854852/851736/855855/852412/855786/850664",17
"GO:0006526","GO:0006526","arginine biosynthetic process","9/192","13/6396",1.05986913208119e-11,7.28863849292754e-10,5.99877346821659e-10,"854096/856411/853357/854297/854479/853573/855084/856800/853374",9
